RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad
CROBEX-a",Opaska
,,,,,,,
1.,shabaneli,"(0) PTKM-R-A,ADRS-P-A,INA-R-A",28.01. 12:16,41.30%,"40,07%","24,32%",
2.,Dividendica,"(0) ATPL-R-A,KODT-P-A,KODT-R-A,ERNT-R-A,ZAPI-R-A,HT-R-A",15.01. 19:09,40.53%,"32,85%","26,81%",Mogla bi biti nezgodna ova godina pa biram koliko-toliko sigurnu dividendu a nek se nađe i ATPL
3.,svido,"(0) ATPL-R-A,BCIN-R-A,KODT-R-A,HT-R-A",07.01. 10:19,38.57%,"30,48%","25,49%",ne sudjeluje u poklonima (djelatnik)
4.,Miro25,"(0) ATPL-R-A,LPLH-R-A,HT-R-A",25.01. 23:47,35.59%,"28,91%","20,87%",
5.,Lucius,"(0) HPB-R-A,HT-R-A,ADRS-P-A,PBZ-R-A,LEDO-R-A,ZABA-R-A",31.01. 11:53,35.50%,"32,24%","16,34%",
6.,NB,"(0) HT-R-A,DDJH-R-A,ADPL-R-A,PTKM-R-A,LPLH-R-A",07.01. 12:24,35.37%,"32,44%","22,29%",
7.,hmihajlo,"(0) HT-R-A,PTKM-R-A,ATPL-R-A",06.01. 20:47,35.19%,"28,00%","22,11%",
8.,mtrupinic,"(0) ATPL-R-A,HT-R-A,ERNT-R-A",07.01. 16:38,34.08%,"24,99%","21,00%",
9.,TERMICH,"(0) INGR-R-A,ADPL-R-A,ERNT-R-A,ADRS-P-A,HT-R-A,ATGR-R-A",20.01. 23:01,33.00%,"28,80%","19,19%",Izbor vršen metodom intuicije.
10.,Geronimo,"(0) ATPL-R-A,ERNT-R-A,HT-R-A",09.01. 10:48,32.71%,"23,73%","19,71%",
11.,mndrija,"(0) INA-R-A,ATPL-R-A,JDPL-R-A",16.01. 15:06,31.24%,"29,02%","17,52%",Sretno!
12.,bibijana,"(0) CROS-R-A,ZABA-R-A,ERNT-R-A,ADRS-P-A,HT-R-A,MAIS-R-A",30.01. 11:30,31.13%,"27,21%","13,21%",
13.,rduras,"(0) ADRS-P-A,HT-R-A,ATPL-R-A,ERNT-R-A",24.01. 09:41,31.04%,"23,63%","16,32%",
14.,krcko,"(0) HT-R-A,KOEI-R-A,ATPL-R-A,KODT-P-A,PTKM-R-A",20.01. 12:21,30.46%,"25,04%","17,68%",
15.,Trejder,"(0) KODT-P-A,VIRO-R-A,ERNT-R-A,HT-R-A,ATPL-R-A",25.01. 20:05,29.08%,"22,37%","14,36%",
16.,Konus,"(0) ZABA-R-A,HTPK-R-A,DLKV-R-A,ATPL-R-A,SUNH-R-A,ADRS-P-A",30.01. 15:08,28.80%,"27,10%","10,87%",
17.,bravo,"(0) ERNT-R-A,IGH-R-A,ATGR-R-A,ATPL-R-A,CROS-P-A,HT-R-A",09.01. 07:57,28.62%,"23,67%","15,62%",
18.,inesca,"(0) INA-R-A,HT-R-A,DLKV-R-A,LEDO-R-A",29.01. 04:38,28.36%,"24,47%","11,75%",
19.,nulakuna,"(0) HT-R-A,PTKM-R-A,ULPL-R-A,LKPC-R-A",16.01. 09:16,27.93%,"22,60%","14,22%",
20.,ozapa,"(0) ADRS-P-A,ZABA-R-A,TNPL-R-A,RIBA-R-A,ERNT-R-A,HT-R-A",14.01. 18:01,27.01%,"22,20%","12,09%",
21.,batistuta,"(0) DIOK-R-A,JNAF-R-A,TISK-R-A",25.01. 19:09,25.92%,"25,92%","11,20%",
22.,seljak,"(0) MMTZ-R-A,ADRS-P-A,DDJM-R-A",06.01. 22:12,25.91%,"24,34%","12,83%",
23.,strummer,"(0) ATPL-R-A,DIOK-R-A,ERNT-R-A,ATGR-R-A,HT-R-A,KRAS-R-A",30.01. 18:40,25.65%,"20,00%","6,49%",
24.,mravac,"(0) BLJE-R-A,ATPL-R-A,HT-R-A",07.01. 09:31,25.54%,"18,35%","12,46%",
25.,prof1,"(0) ERNT-R-A,ADRS-P-A,TNPL-R-A,BLJE-R-A,HT-R-A,INA-R-A",30.01. 13:43,25.44%,"21,23%","7,51%",
26.,Crumarix,"(0) CROS-R-A,ZVCV-R-A,ZVZD-R-A,JDPL-R-A,HT-R-A,ULJN-R-A",08.01. 19:41,25.41%,"22,79%","12,40%",
27.,bulione,"(0) HT-R-A,ATPL-R-A,ADRS-R-A,ATGR-R-A,LRH-R-A,IGH-R-A",07.01. 08:37,24.70%,"20,17%","11,62%",
28.,smootko,"(0) ATPL-R-A,TNPL-R-A,PTKM-R-A,JDPL-R-A",30.01. 11:51,23.77%,"21,74%","5,84%",..na krilima inflacije i devalvacije
29.,FerengiHR,"(0) HT-R-A,THNK-R-A,ERNT-R-A,PODR-R-A,KODT-R-A,ADRS-R-A",28.01. 00:13,23.39%,"17,69%","6,41%",Nadam se da ću pobijediti .. se šta dobije :)
30.,calado,"(0) VLDS-R-A,INA-R-A,HT-R-A,IPKK-R-A,KODT-P-A",12.01. 22:30,22.37%,"18,32%","15,30%",svi u napad
31.,jope,"(0) KORF-R-A,LRH-R-A,JDPL-R-A",27.01. 19:23,22.31%,"22,31%","5,32%",
32.,ALL IN,"(0) INA-R-A,JDBA-R-A,HDEL-R-A,HT-R-A",19.01. 14:19,21.26%,"17,87%","9,35%",Gadno se sprema
33.,sasko-mojnovac,"(0) DDJH-R-A,JDPL-R-A,IPKK-R-A,LRH-R-A,ADRS-P-A,LEDO-R-A",29.01. 20:54,21.12%,"20,15%","3,19%",
34.,molive,"(0) ULPL-R-A,RIBA-R-A,CEBA-R-A,PBZ-R-A",17.01. 09:42,20.91%,"15,87%","9,00%",
35.,davor150,"(0) KOEI-R-A,KODT-R-A,TUHO-R-A,HT-R-A,ATPL-R-A",12.01. 19:30,20.77%,"14,85%","13,71%",
36.,pips,"(0) JDPL-R-A,KOEI-R-A,HDEL-R-A,PTKM-R-A,BCIN-R-A,ATPL-R-A",31.01. 14:51,20.61%,"19,05%","1,45%",
37.,Cicija,"(0) DLKV-R-A,ERNT-R-A,HT-R-A,ATPL-R-A,TISK-R-A,KODT-R-A",15.01. 21:02,20.56%,"14,92%","6,85%",
38.,marinko,"(0) DLKV-R-A,ERNT-R-A,HT-R-A,ADRS-P-A,ATPL-R-A,PTKM-R-A",23.01. 07:56,20.53%,"15,72%","6,85%",
39.,ZONIK,"(0) ULPL-R-A,ZABA-R-A,HT-R-A,INGR-R-A,ERNT-R-A,ATPL-R-A",30.01. 14:07,20.41%,"14,69%","2,49%",
40.,bujto,"(0) DLKV-R-A,ZVZD-R-A,ADRS-P-A,HT-R-A",26.01. 09:55,20.22%,"15,55%","5,50%",
41.,dollydur,"(0) INDG-R-A,HT-R-A,ADRS-P-A",31.01. 21:13,19.79%,"13,98%","0,62%",
42.,eq.de,"(0) HT-R-A,DLKV-R-A,ERNT-R-A,ATPL-R-A,ADRS-P-A,VIRO-R-A",28.01. 15:58,19.19%,"14,24%","2,21%",
43.,Mogli-London,"(0) VIRO-R-A,HT-R-A,TNPL-R-A,ERNT-R-A",30.01. 16:32,18.84%,"13,47%","0,91%",
44.,Leconte,"(0) ATPL-R-A,DLKV-R-A,ZABA-R-A",23.01. 18:24,18.75%,"16,63%","4,03%",
45.,multiplex,"(0) ATPL-R-A,TNPL-R-A,THNK-R-A,MMTZ-R-A,KODT-P-A,PTKM-R-A",29.01. 18:39,18.70%,"15,15%","0,77%",
46.,mico1hr,"(0) KODT-P-A,DLKV-R-A,DIOK-R-A,HT-R-A,ADRS-P-A",16.01. 11:03,18.61%,"13,62%","4,90%",
47.,zane,"(0) ADRS-P-A,HT-R-A,MGMA-R-A,ATPL-R-A,ERNT-R-A",15.01. 19:09,18.54%,"12,48%","4,83%",
48.,buco25,"(0) ERNT-R-A,ATPL-R-A,DLKV-R-A,HT-R-A,ZABA-R-A",09.01. 18:46,18.25%,"13,06%","8,81%",
49.,zokas,"(0) KODT-P-A,VIRO-R-A,TNPL-R-A,JDPL-R-A,ATPL-R-A,MIV-R-A",15.01. 23:02,18.18%,"15,57%","4,47%",
50.,wstreet,"(0) MAIS-R-A,ADRS-P-A,JDBA-R-A,LRH-R-A,ATPL-R-A,HT-R-A",12.01. 14:08,17.62%,"13,65%","8,18%",
51.,hijo41,"(0) ATPL-R-A,DLKV-R-A,ERNT-R-A,TNPL-R-A,KOEI-R-A,JDPL-R-A",31.01. 22:11,17.61%,"15,20%","-1,55%","Očekujem rast brodarskih ,informatičkih i kompanija uključenih u energetski sektor"
52.,Twixer,"(0) ATPL-R-A,JDPL-R-A,CKML-R-A,TNPL-R-A,INA-R-A,PODR-R-A",16.01. 14:28,17.36%,"15,52%","3,65%",
53.,kuna94,"(0) TNPL-R-A,ATPL-R-A,ULPL-R-A",23.01. 18:30,17.36%,"12,24%","2,64%",
54.,rocky555,"(0) ATPL-R-A,IGH-R-A,KOEI-R-A,JDPL-R-A",30.01. 19:09,17.32%,"15,28%","-1,85%",
55.,Barbus,"(0) INA-R-A,ADRS-P-A,ATPL-R-A,AUHR-R-A,INDG-R-A",31.01. 18:25,17.27%,"14,27%","-1,90%",
56.,G. House,"(0) HT-R-A,ATPL-R-A,DDJH-R-A,JDPL-R-A",30.01. 21:19,16.72%,"11,69%","-2,45%",
57.,faca5,"(0) JDPL-R-A,VIRO-R-A,ERNT-R-A,ATPL-R-A,HT-R-A,IGH-R-A",15.01. 18:54,15.44%,"10,75%","1,73%",
58.,junge,"(0) ERNT-R-A,ATPL-R-A,DLKV-R-A,LEDO-R-A",06.01. 20:53,15.44%,"11,85%","2,35%",
59.,ejovrh,"(0) ZABA-R-A,HT-R-A,ATPL-R-A,DLKV-R-A,ERNT-R-A,IGH-R-A",22.01. 10:48,14.71%,"10,16%","2,63%",Ovo je samo pokušaj ;)
60.,giga,"(0) JDPL-R-A,KOEI-R-A,DIOK-R-A,ADRS-P-A,HT-R-A",15.01. 01:07,14.61%,"11,10%","-0,31%",
61.,mveza,"(0) DLKV-R-A,HT-R-A,KOEI-R-A,ERNT-R-A",23.01. 20:20,13.90%,"8,99%","-0,82%",
62.,Mr_Ri,"(0) TNPL-R-A,ATPL-R-A,HT-R-A,DLKV-R-A,ERNT-R-A,KNZM-R-A",26.01. 00:23,13.45%,"8,44%","-1,26%",
63.,ja007,"(0) ATPL-R-A,VDKT-R-A,HDEL-R-A,HT-R-A",20.01. 21:14,13.34%,"7,38%","-0,48%",
64.,winner_tin,"(0) ATGR-R-A,DIOK-R-A,INDG-R-A,INA-R-A,HT-R-A,KNZM-R-A",21.01. 16:39,13.21%,"10,31%","-0,61%",he who dares winns!!
65.,gogo,"(0) ATPL-R-A,VDKT-R-A,ERNT-R-A",28.01. 15:09,12.93%,"7,45%","-4,06%",
66.,cool232,"(0) ADRS-P-A,DLKV-R-A,JDPL-R-A,PTKM-R-A,ATPL-R-A,DIOK-R-A",16.01. 12:10,12.48%,"10,78%","-1,23%",
67.,[tom],"(0) HDEL-R-A,ATPL-R-A,JDPL-R-A,TISK-R-A,PBZ-R-A",16.01. 09:52,12.24%,"10,91%","-1,48%",
68.,velebit,"(0) HT-R-A,VIRO-R-A,ATPL-R-A,RIBA-R-A,ERNT-R-A,INGR-R-A",15.01. 11:50,12.07%,"6,96%","-2,86%",
69.,nokia1,"(0) LKPC-R-A,ATPL-R-A,HT-R-A,KOEI-R-A,LRH-R-A,IGH-R-A",09.01. 22:09,11.97%,"8,40%","2,54%",smiješno
70.,antuntun,"(0) SNHO-R-A,ADRS-P-A,LEDO-R-A,VIRO-R-A",15.01. 09:43,11.93%,"10,61%","-3,00%",
71.,Manager,"(0) KOEI-R-A,ERNT-R-A,DLKV-R-A,KNZM-R-A,ATPL-R-A,HT-R-A",12.01. 01:26,11.20%,"6,51%","1,76%",
72.,Pčelac,"(0) CEBA-R-A,HT-R-A,DDJH-R-A,IPKK-R-A",01.02. 10:14,10.70%,"4,72%","-8,47%",
73.,mahniti,"(0) MMTZ-R-A,THNK-R-A,DLKV-R-A,HT-R-A,KODT-R-A,ATPL-R-A",19.01. 10:44,10.49%,"5,20%","-1,43%",
74.,ejpox,"(0) LCDS-R-A,TNPL-R-A,VLHO-R-A,IPKK-R-A,HT-R-A,PTKM-R-A",31.01. 23:07,10.28%,"7,73%","-8,88%",
75.,ac_dc,"(0) JDGT-R-A,JDPL-R-A,MMTZ-R-A,MIV-R-A,DDJH-R-A,BDSS-R-A",14.01. 10:56,9.52%,"5,33%","-0,19%",
76.,governor,"(0) LKPC-R-A,HDEL-R-A,JDPL-R-A",17.01. 00:44,9.40%,"9,40%","-2,51%",
77.,miško,"(0) HDEL-R-A,DLKV-R-A,HT-R-A,ATPL-R-A,DIOK-R-A",15.01. 19:56,9.37%,"5,19%","-4,35%",
78.,dudobj,"(0) PTKM-R-A,JDPL-R-A,DLKV-R-A",16.01. 13:41,9.20%,"9,20%","-4,51%",
79.,mogul,"(0) HT-R-A,ATPL-R-A,LPLH-R-A,INGR-R-A,PTKM-R-A,DDJH-R-A",22.01. 09:31,8.65%,"5,21%","-3,43%",
80.,obeliks,"(0) HT-R-A,BCIN-R-A,FRNK-R-A,PZC-R-A",07.01. 09:34,8.51%,"3,71%","-4,57%",
81.,tomislavk,"(0) VIRO-R-A,ATPL-R-A,BLJE-R-A",25.01. 23:15,8.51%,"6,39%","-6,21%",
